word,bound,flag,radical,pinyin
SPACE,S,x,UNK,UNK
SPACE,S,x,UNK,UNK
SPACE,S,x,UNK,UNK
SPACE,S,x,UNK,UNK
谢,B,nr,讠,xiè
永,E,nr,水,yǒng
林,B,nr,木,lín
先,M,nr,儿,xiān
生,E,nr,生,shēng
",",S,x,UNK,UNK
非,S,h,非,fēi
执,B,v,扌,zhí
行,E,v,行,háng
董,B,n,艹,dǒng
事,E,n,亅,shì
候,B,n,亻,hòu
选,M,n,辶,xuǎn
人,E,n,人,rén
。,S,x,UNK,UNK
num,B,m,UNK,UNK
num,M,m,UNK,UNK
num,M,m,UNK,UNK
num,E,m,UNK,UNK
年,S,m,干,nián
num,S,m,UNK,UNK
月,S,m,月,yuè
出,B,v,凵,chū
生,E,v,生,shēng
",",S,x,UNK,UNK
南,B,nt,十,nán
京,M,nt,亠,jīng
大,M,nt,大,dà
学,E,nt,子,xué
管,B,n,竹,guǎn
理,M,n,王,lǐ
学,E,n,子,xué
博,B,n,十,bó
士,E,n,士,shì
、,S,x,UNK,UNK
理,B,n,王,lǐ
学,E,n,子,xué
硕,B,n,石,shuò
士,E,n,士,shì
。,S,x,UNK,UNK
自,S,r,自,zì
num,B,m,UNK,UNK
num,M,m,UNK,UNK
num,M,m,UNK,UNK
num,E,m,UNK,UNK
年,S,m,干,nián
num,B,m,UNK,UNK
num,E,m,UNK,UNK
月,S,m,月,yuè
起,S,v,走,qǐ
出,B,v,凵,chū
任,E,v,亻,rèn
中,B,ns,丨,zhōng
国,E,ns,囗,guó
平,B,a,干,píng
安,E,a,宀,ān
联,B,n,耳,lián
席,E,n,巾,xí
首,B,n,首,shǒu
席,E,n,巾,xí
执,B,n,扌,zhí
行,M,n,行,háng
官,E,n,宀,guān
",",S,x,UNK,UNK
自,S,r,自,zì
num,B,m,UNK,UNK
num,M,m,UNK,UNK
num,M,m,UNK,UNK
num,E,m,UNK,UNK
年,S,m,干,nián
num,S,m,UNK,UNK
月,S,m,月,yuè
起,S,v,走,qǐ
出,B,v,凵,chū
任,E,v,亻,rèn
中,B,ns,丨,zhōng
国,E,ns,囗,guó
平,B,a,干,píng
安,E,a,宀,ān
副,B,n,刂,fù
总,M,n,心,zǒng
经,M,n,纟,jīng
理,E,n,王,lǐ
",",S,x,UNK,UNK
并,S,c,干,bìng
自,S,r,自,zì
num,B,m,UNK,UNK
num,M,m,UNK,UNK
num,M,m,UNK,UNK
num,E,m,UNK,UNK
年,S,m,干,nián
num,B,m,UNK,UNK
num,E,m,UNK,UNK
月,S,m,月,yuè
起,S,v,走,qǐ
出,B,v,凵,chū
任,E,v,亻,rèn
平,B,a,干,píng
安,E,a,宀,ān
银,B,n,钅,yín
行,E,n,行,háng
董,B,n,艹,dǒng
事,M,n,亅,shì
长,E,n,长,cháng
至,B,d,至,zhì
今,E,d,人,jīn
。,S,x,UNK,UNK
LB,S,x,UNK,UNK
sep,sep,sep,sep,sep
SPACE,S,x,UNK,UNK
SPACE,S,x,UNK,UNK
SPACE,S,x,UNK,UNK
SPACE,S,x,UNK,UNK
谢,B,nr,讠,xiè
永,E,nr,水,yǒng
林,B,nr,木,lín
先,M,nr,儿,xiān
生,E,nr,生,shēng
于,S,p,二,yú
num,B,m,UNK,UNK
num,M,m,UNK,UNK
num,M,m,UNK,UNK
num,E,m,UNK,UNK
年,S,m,干,nián
num,B,m,UNK,UNK
num,E,m,UNK,UNK
月,S,m,月,yuè
加,B,v,力,jiā
入,E,v,入,rù
中,B,ns,丨,zhōng
国,E,ns,囗,guó
平,B,a,干,píng
安,E,a,宀,ān
",",S,x,UNK,UNK
从,S,p,人,cóng
基,B,n,土,jī
层,E,n,尸,céng
业,B,n,一,yè
务,M,n,力,wù
员,E,n,口,yuán
做,B,v,亻,zuò
起,E,v,走,qǐ
",",S,x,UNK,UNK
先,B,t,儿,xiān
后,E,t,口,hòu
担,B,v,扌,dān
任,E,v,亻,rèn
平,B,a,干,píng
安,E,a,宀,ān
产,B,n,亠,chǎn
险,E,n,阝,xiǎn
支,B,n,支,zhī
公,M,n,八,gōng
司,E,n,口,sī
副,B,n,刂,fù
总,M,n,心,zǒng
经,M,n,纟,jīng
理,E,n,王,lǐ
、,S,x,UNK,UNK
平,B,a,干,píng
安,E,a,宀,ān
寿,B,n,寸,shòu
险,E,n,阝,xiǎn
分,B,n,刀,fēn
公,M,n,八,gōng
司,E,n,口,sī
副,B,n,刂,fù
总,M,n,心,zǒng
经,M,n,纟,jīng
理,E,n,王,lǐ
、,S,x,UNK,UNK
总,B,n,心,zǒng
经,M,n,纟,jīng
理,E,n,王,lǐ
、,S,x,UNK,UNK
平,B,a,干,píng
