word,label,bound,flag,radical,pinyin
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
SPACE,O,S,x,UNK,UNK
邹,B-Per,S,nr,阝,zōu
小,I-Per,B,n,小,xiǎo
兵,E-Per,E,n,八,bīng
",",O,S,x,UNK,UNK
男,S-Gdr,S,n,田,nán
",",O,S,x,UNK,UNK
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
大,B-Edu,B,n,大,dà
专,E-Edu,E,n,一,zhuān
",",O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,I-Time,S,m,月,yuè
起,E-Time,S,v,走,qǐ
在,O,S,p,土,zài
武,B-Com,B,j,止,wǔ
警,I-Com,E,j,言,jǐng
广,I-Com,B,ns,广,guǎng
东,I-Com,E,ns,一,dōng
边,I-Com,B,n,辶,biān
防,I-Com,E,n,阝,fáng
第,I-Com,B,m,竹,dì
六,I-Com,E,m,八,liù
支,I-Com,B,n,支,zhī
队,E-Com,E,n,阝,duì
服,O,B,n,月,fú
役,O,E,n,彳,yì
;,O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,B,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,B,d,至,zhì
今,E-Time,E,d,人,jīn
在,O,S,p,土,zài
本,O,B,n,木,běn
司,O,E,n,口,sī
工,O,B,vn,工,gōng
作,O,E,vn,亻,zuò
。,O,S,x,UNK,UNK
LB,O,S,x,UNK,UNK
