word,label,bound,flag,radical,pinyin
胡,B-Per,B,nr,月,hú
跃,I-Per,M,nr,足,yuè
飞,E-Per,E,nr,飞,fēi
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
",",O,S,x,UNK,UNK
执,B-Zhi,B,v,扌,zhí
行,I-Zhi,E,v,行,háng
董,I-Zhi,B,n,艹,dǒng
事,I-Zhi,E,n,亅,shì
候,I-Zhi,B,n,亻,hòu
选,I-Zhi,M,n,辶,xuǎn
人,E-Zhi,E,n,人,rén
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
num,B-Bir,B,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,M,m,UNK,UNK
num,I-Bir,E,m,UNK,UNK
年,E-Bir,S,m,干,nián
出,O,B,v,凵,chū
生,O,E,v,生,shēng
",",O,S,x,UNK,UNK
中,B-Sch,B,nt,丨,zhōng
南,I-Sch,M,nt,十,nán
财,I-Sch,M,nt,贝,cái
经,I-Sch,M,nt,纟,jīng
政,I-Sch,M,nt,攵,zhèng
法,I-Sch,M,nt,氵,fǎ
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
(,O,S,x,UNK,UNK
原,B-Sch,S,n,厂,yuán
中,I-Sch,B,nt,丨,zhōng
南,I-Sch,M,nt,十,nán
财,I-Sch,M,nt,贝,cái
经,I-Sch,M,nt,纟,jīng
大,I-Sch,M,nt,大,dà
学,E-Sch,E,nt,子,xué
),O,S,x,UNK,UNK
经,B-Maj,B,n,纟,jīng
济,I-Maj,M,n,氵,jì
学,E-Maj,E,n,子,xué
硕,B-Edu,B,n,石,shuò
士,E-Edu,E,n,士,shì
。,O,S,x,UNK,UNK
sep,sep,sep,sep,sep,sep
胡,B-Per,B,nr,月,hú
跃,I-Per,M,nr,足,yuè
飞,E-Per,E,nr,飞,fēi
先,B-Gdr,B,n,儿,xiān
生,E-Gdr,E,n,生,shēng
于,O,S,p,二,yú
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,S,p,至,zhì
num,I-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,E-Time,S,m,月,yuè
",",O,S,x,UNK,UNK
历,O,B,n,厂,lì
任,O,E,n,亻,rèn
深,B-Com,B,nt,氵,shēn
圳,I-Com,M,nt,土,zhèn
发,I-Com,M,nt,又,fā
展,I-Com,M,nt,尸,zhǎn
银,I-Com,M,nt,钅,yín
行,E-Com,E,nt,行,háng
党,B-Job,S,n,儿,dǎng
办,I-Job,S,v,力,bàn
宣,I-Job,B,vn,宀,xuān
传,I-Job,E,vn,亻,chuán
室,I-Job,B,n,宀,shì
主,I-Job,M,n,丶,zhǔ
任,E-Job,E,n,亻,rèn
、,O,S,x,UNK,UNK
支,B-Job,B,v,支,zhī
行,I-Job,E,v,行,háng
副,I-Job,B,n,刂,fù
行,I-Job,M,n,行,háng
长,E-Job,E,n,长,cháng
、,O,S,x,UNK,UNK
支,B-Job,B,v,支,zhī
行,I-Job,E,v,行,háng
行,I-Job,B,n,行,háng
长,E-Job,E,n,长,cháng
;,O,S,x,UNK,UNK
num,B-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,I-Time,S,m,月,yuè
至,I-Time,S,p,至,zhì
num,I-Time,B,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,M,m,UNK,UNK
num,I-Time,E,m,UNK,UNK
年,I-Time,S,m,干,nián
num,I-Time,S,m,UNK,UNK
月,E-Time,S,m,月,yuè
",",O,S,x,UNK,UNK
历,O,B,n,厂,lì
任,O,E,n,亻,rèn
深,B-Com,B,nt,氵,shēn
圳,I-Com,M,nt,土,zhèn
发,I-Com,M,nt,又,fā
展,I-Com,M,nt,尸,zhǎn
银,I-Com,M,nt,钅,yín
行,E-Com,E,nt,行,háng
